Digite o primeiro livro iniciando
Autónomas 	 Vocab(count:4462, index:8359)
esperado 	 Vocab(count:8094, index:4727)
cortan 	 Vocab(count:6757, index:6064)
circulan 	 Vocab(count:3279, index:9542)
fuga 	 Vocab(count:8346, index:4475)
esperaban 	 Vocab(count:8824, index:3997)
ponerlos 	 Vocab(count:2968, index:9853)
ayudando 	 Vocab(count:7506, index:5315)
or 	 Vocab(count:10761, index:2060)
autoritario 	 Vocab(count:9853, index:2968)
Roma 	 Vocab(count:6438, index:6383)
élites 	 Vocab(count:3951, index:8870)
predijo 	 Vocab(count:4645, index:8176)
miserables 	 Vocab(count:9046, index:3775)
INDEPENDIZAR 	 Vocab(count:3801, index:9020)
Lamentablemente 	 Vocab(count:1103, index:11718)
raíz 	 Vocab(count:9463, index:3358)
menudos 	 Vocab(count:1395, index:11426)
crimen 	 Vocab(count:372, index:12449)
escoger 	 Vocab(count:7594, index:5227)
urnas 	 Vocab(count:12757, index:64)
next 	 Vocab(count:6727, index:6094)
permita 	 Vocab(count:10649, index:2172)
considerable 	 Vocab(count:1084, index:11737)
Votarem 	 Vocab(count:9225, index:3596)
levantan 	 Vocab(count:5439, index:7382)
Historia 	 Vocab(count:11685, index:1136)
veamos 	 Vocab(count:6698, index:6123)
MÉXICO 	 Vocab(count:4728, index:8093)
utiliza 	 Vocab(count:9439, index:3382)
Hagan 	 Vocab(count:8676, index:4145)
apoyarían 	 Vocab(count:4, index:12817)
VENEZUELA 	 Vocab(count:10207, index:2614)
López 	 Vocab(count:815, index:12006)
brexit 	 Vocab(count:9126, index:3695)
Pedro 	 Vocab(count:12058, index:763)
aplicará 	 Vocab(count:5293, index:7528)
pretende 	 Vocab(count:11436, index:1385)
controla 	 Vocab(count:8394, index:4427)
Llull 	 Vocab(count:4386, index:8435)
iran 	 Vocab(count:4829, index:7992)
logran 	 Vocab(count:7452, index:5369)
currar 	 Vocab(count:7600, index:5221)
bulto 	 Vocab(count:2596, index:10225)
sectaria 	 Vocab(count:2009, index:10812)
cabra 	 Vocab(count:6433, index:6388)
cansada 	 Vocab(count:8812, index:4009)
cambie 	 Vocab(count:8389, index:4432)
Montoro 	 Vocab(count:5921, index:6900)
visitados 	 Vocab(count:1750, index:11071)
olvidar 	 Vocab(count:11307, index:1514)
busquen 	 Vocab(count:7659, index:5162)
ilegal” 	 Vocab(count:525, index:12296)
nazi 	 Vocab(count:12091, index:730)
cuerda 	 Vocab(count:221, index:12600)
expulsa 	 Vocab(count:3410, index:9411)
´ 	 Vocab(count:6368, index:6453)
Imperio 	 Vocab(count:6797, index:6024)
uniendo 	 Vocab(count:4255, index:8566)
expulsada 	 Vocab(count:6127, index:6694)
libere 	 Vocab(count:1341, index:11480)
dé 	 Vocab(count:10722, index:2099)
USA 	 Vocab(count:9867, index:2954)
XD 	 Vocab(count:11077, index:1744)
Eurovisión 	 Vocab(count:6551, index:6270)
reprimieron 	 Vocab(count:5135, index:7686)
refiriéndose 	 Vocab(count:4818, index:8003)
procede 	 Vocab(count:4140, index:8681)
preciio 	 Vocab(count:8125, index:4696)
verde 	 Vocab(count:7161, index:5660)
nazionalista 	 Vocab(count:6322, index:6499)
Colau 	 Vocab(count:11788, index:1033)
robar 	 Vocab(count:11533, index:1288)
moda 	 Vocab(count:11272, index:1549)
implica 	 Vocab(count:11382, index:1439)
miércoles 	 Vocab(count:10477, index:2344)
prohibió 	 Vocab(count:5769, index:7052)
solicitar 	 Vocab(count:6832, index:5989)
470 	 Vocab(count:1133, index:11688)
63 	 Vocab(count:2647, index:10174)
Siria 	 Vocab(count:9432, index:3389)
reivindican 	 Vocab(count:742, index:12079)
silenciar 	 Vocab(count:5311, index:7510)
mono 	 Vocab(count:7978, index:4843)
é 	 Vocab(count:12403, index:418)
ausencia 	 Vocab(count:8250, index:4571)
decidiera 	 Vocab(count:6489, index:6332)
repite 	 Vocab(count:9050, index:3771)
podáis 	 Vocab(count:5533, index:7288)
HACEN 	 Vocab(count:3589, index:9232)
recientes 	 Vocab(count:1321, index:11500)
Consejería 	 Vocab(count:4227, index:8594)
probabilidades 	 Vocab(count:1392, index:11429)
George 	 Vocab(count:4941, index:7880)
anuales 	 Vocab(count:2538, index:10283)
